Business Key,Business Name,Business Address,Longitude,Latitude,Project Location,Has Incoming Location,Incoming_OnStreetID,Incoming_OrientationID,Incoming_FromID,Incoming_ToID,Incoming_WhereTypeID,Incoming_ParkingTypeID,Has Incoming Volume,Incoming Parking Type,Incoming Vehicle Type,Monday Total,Tuesday Total,Wednesday Total,Thursday Total,Friday Total,Saturday Total,Sunday Total,Total Weekly Deliveries,Average Daily Weekday,Has Outgoing Deliveries,Make Deliveries Daily Total,Make Delivery Vehicles Fixed,Outgoing Where On Block,Outgoing Parking Type,Business_OnStreet,Business_Orientation,Business_From,Business_To,Has Double Parking Survey,Double Parking,Source Count,Survey Year
TAIM | 11 HOYT ST BROOKLYN NY 11201 USA,Taim,"11 Hoyt St, Brooklyn, NY, 11201, USA",-73.98535981,40.69000533,LIVINGSTON STREET,1,LIVINGSTON STREET,North,HOYT STREET,ELM PLACE,Don't know,Don't know,1,Don't know,,0,0,0,0,0,0,0,0,0.0,1,,,,,LIVINGSTON STREET,North,HOYT STREET,ELM PLACE,1,Unsure,1,2022
BED STUY FISH FRY | 129 LIVINGSTON ST BROOKLYN NY 11201 USA,Bed-Stuy Fish Fry,"129 Livingston St, Brooklyn, NY, 11201, USA",-73.98866153,40.6909164,LIVINGSTON STREET,1,LIVINGSTON STREET,North,BOERUM PLACE,SMITH STREET,In front of the business,Bus lane,1,Bus lane,Box truck,5,0,5,0,5,0,0,15,3.0,1,,,,,LIVINGSTON STREET,North,BOERUM PLACE,SMITH STREET,1,Unsure,1,2022
APOLLO DINER | 155 LIVINGSTON ST BROOKLYN NY 11201 USA,APOLLO DINER,"155 Livingston St, Brooklyn, NY, 11201, USA",-73.9875552,40.69048189,LIVINGSTON STREET,1,LIVINGSTON STREET,North,SMITH STREET,GALLATIN PLACE,Don't know,Don't know,1,Don't know,Box truck,0,0,0,0,0,0,0,0,0.0,1,12.0,"Made_by_business,Third_party",In front of the business,Bike parking on sidewalk,LIVINGSTON STREET,North,SMITH STREET,GALLATIN PLACE,1,Once or twice a day,1,2022
DALLAS BBQ | 180 LIVINGSTON ST BROOKLYN NY 11201 USA,DALLAS BBQ,"180 Livingston St, Brooklyn, NY, 11201, USA",-73.98706486,40.69001816,LIVINGSTON STREET,1,LIVINGSTON STREET,South,SMITH STREET,HOYT STREET,In front of the business,In a No Standing zone,1,In a No Standing zone,Box truck,20,20,20,20,20,20,0,120,20.0,1,60.0,"Made_by_business,Third_party",In front of the business,In a No Standing zone,LIVINGSTON STREET,South,SMITH STREET,HOYT STREET,1,Unsure,1,2022
CENTURY MEDICAL AND DENTAL | 200 LIVINGSTON ST BROOKLYN NY 11201 USA,Century medical and dental,"200 Livingston St, Brooklyn, NY, 11201, USA",-73.98624486,40.68969139,LIVINGSTON STREET,1,LIVINGSTON STREET,South,SMITH STREET,HOYT STREET,In front of the business,Double parked,1,Double parked,"Mail truck (e.g. USPS, FedEx, etc.)",0,0,0,0,0,0,0,0,0.0,1,,,,,LIVINGSTON STREET,South,SMITH STREET,HOYT STREET,1,Consistently,1,2022
ARMED FORCES CAREER CENTER | 253 LIVINGSTON ST BROOKLYN NY 11201 USA,Armed Forces Career Center,"253 Livingston St, Brooklyn, NY, 11201, USA",-73.98378167,40.68902033,LIVINGSTON STREET,1,,,,,,,1,,,0,0,0,0,0,0,0,0,0.0,1,,,,,,,,,1,,1,2022
BRIDGE CLEANERS TAILORS | 202 LIVINGSTON ST BROOKLYN NY 11201 USA,Bridge Cleaners & Tailors,"202 Livingston St, Brooklyn, NY, 11201, USA",-73.986183,40.68966821,LIVINGSTON STREET,1,LIVINGSTON STREET,South,SMITH STREET,HOYT STREET,In front of the business,Metered parking,1,Metered parking,"Mail truck (e.g. USPS, FedEx, etc.)",1,1,1,1,1,1,0,6,1.0,1,,,,,LIVINGSTON STREET,South,SMITH STREET,HOYT STREET,1,Consistently,1,2022
O POKE | 206 LIVINGSTON ST BROOKLYN NY 11201 USA,O-Poke,"206 Livingston St, Brooklyn, NY, 11201, USA",-73.98608426,40.68954676,LIVINGSTON STREET,1,LIVINGSTON STREET,South,SMITH STREET,HOYT STREET,In front of the business,Fire hydrant,1,Fire hydrant,Cargo van,0,1,0,0,0,0,0,1,0.2,1,6.0,Third_party,In front of the business,Bike parking on sidewalk,LIVINGSTON STREET,South,SMITH STREET,HOYT STREET,1,Consistently,1,2022
BELLA PIZZA | 208 LIVINGSTON ST BROOKLYN NY 11201 USA,Bella Pizza,"208 Livingston St, Brooklyn, NY, 11201, USA",-73.98594403,40.68958263,LIVINGSTON STREET,1,LIVINGSTON STREET,South,SMITH STREET,HOYT STREET,In front of the business,Double parked,1,Double parked,Box truck,2,2,2,2,2,2,2,14,2.0,1,5.0,Third_party,In front of the business,Bike parking on sidewalk,LIVINGSTON STREET,South,SMITH STREET,HOYT STREET,1,Consistently,1,2022
SMOKE SHOP MAGAZINE NEWSTAND CORP | 208 LIVINGSTON ST BROOKLYN NY 11201 USA,SMOKE SHOP - Magazine- Newstand Corp.,"208 Livingston St, Brooklyn, NY, 11201, USA",-73.98594403,40.68958263,LIVINGSTON STREET,1,LIVINGSTON STREET,South,SMITH STREET,HOYT STREET,In front of the business,Bus lane,1,Bus lane,Box truck,14,0,14,0,14,0,0,42,8.4,1,,,,,LIVINGSTON STREET,South,SMITH STREET,HOYT STREET,1,Consistently,1,2022
